0.54	-0.86	0.84	0.52	0.18	-0.73	0.08	0.88	0.27	-0.06
1.83	0.08	-0.89	-0.02	-1.03	-0.03	-0.95	0.32	0.49	-2.02
-2.26	-1.21	0.10	-0.03	0.95	0.23	0.41	-0.78	-1.48	-0.98
0.86	-1.11	-0.54	-0.80	0.31	0.43	0.68	-1.81	-1.02	0.61
0.32	-0.01	0.30	1.02	0.14	-0.37	0.86	1.86	-0.45	-0.05
-1.31	1.53	-0.60	-0.13	0.52	-0.24	-0.69	-0.60	0.11	-1.12
-0.43	-0.77	0.49	-0.71	0.26	2.02	0.45	0.10	1.13	-0.63
0.34	0.37	0.74	1.35	-0.94	-2.26	0.10	0.56	-0.29	0.25
3.58	-0.23	1.71	-0.22	-0.16	2.23	0.83	0.11	1.26	-0.99
2.77	1.12	-0.19	-0.59	-0.15	0.34	0.54	-0.90	0.48	0.97
